params,score
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 600}",0.69035
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 600}",0.65136
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 600}",0.66713
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 600}",0.66592
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 600}",0.67738
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 600}",0.72024
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 600}",0.66041
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 600}",0.67102
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 600}",0.67657
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 600}",0.66497
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 600}",0.711
