target,learning_rate,n_estimators,max_depth,mean_score,fold_A,fold_B,fold_C,fold_D,fold_E
pv_gen,0.1,300,7,0.14194344049884192,0.134233357380419,0.059100327886452766,0.05889084373519769,0.3610833966091993,0.09640927688294072
pv_gen,0.1,600,3,0.12340017750535485,0.11689377072322735,0.06420099440116796,0.05802365130777591,0.33134613152157666,0.04653633957302637
pv_gen,0.1,600,5,0.1351156928149404,0.1310557668433639,0.05773425932275295,0.05780115640734423,0.3745490759909394,0.05443820551030156
pv_gen,0.1,600,7,0.14304411969314507,0.13438665382861545,0.05910006729626524,0.05863970781861184,0.3611166233100915,0.10197754621214125
pv_gen,0.2,100,3,0.13426157962062574,0.13456791445638738,0.06243533111503054,0.07324175848983824,0.3429804786577784,0.05808241538409401
pv_gen,0.2,100,5,0.1319363892327771,0.12317192247087834,0.05790053644487971,0.06328617370930818,0.3693176595252548,0.04600565401356439
pv_gen,0.2,100,7,0.1393054280481368,0.11846257654882092,0.06148815262859594,0.0654635039709573,0.36622083159947283,0.08489207549283709
pv_gen,0.2,300,3,0.127043289253921,0.12258981180796605,0.06419729013042383,0.062301386682462,0.3416433437342324,0.044484613914520646
pv_gen,0.2,300,5,0.13674923277799161,0.12099263442824054,0.05885773602163996,0.06392182565946358,0.3688450868848701,0.07112888089574375
pv_gen,0.2,300,7,0.14059554088448145,0.11841931526767209,0.061821120720070906,0.06538547355350055,0.36600163694543414,0.09135015793572955
pv_gen,0.2,600,3,0.12498476280242388,0.12032446478125276,0.0669344898668996,0.05986295041549113,0.34107635449886803,0.03672555444960792
pv_gen,0.2,600,5,0.14024731041471342,0.12125947455431128,0.05921108161455343,0.06410468017561932,0.36889162278493637,0.08776969294414673
pv_gen,0.2,600,7,0.14059554088705312,0.11841931526766644,0.06182112072007125,0.0653854735534216,0.36600163694540894,0.09135015794869734
ev1_status,0.05,100,3,0.092404605448246,0.09001264721155167,0.09398145228624344,0.09285327047109604,0.09133454412221909,0.09384111315011978
