n_train_days,rmse,train_seed
14,0.7658005246774765,7
15,0.7667227075179717,7
16,0.7642358420665001,7
17,0.7619462635298685,7
18,0.7567395736380719,7
19,0.7604052130550147,7
20,0.7592742419373503,7
21,0.745028432030976,7
22,0.779539647919228,7
23,0.7653377754559142,7
24,0.7634432280605514,7
25,0.7236801947761474,7
26,0.7217129445350903,7
27,0.7273938954948621,7
28,0.7241126308577568,7
29,0.7231539839510589,7
30,0.7212833860561234,7
31,0.7227120660395456,7
32,0.7174060737713522,7
33,0.7158126709190786,7
34,0.7139168156539479,7
35,0.7058942922346738,7
36,0.7071865226875794,7
37,0.7059467727438277,7
38,0.7026392655216096,7
39,0.701173296459402,7
40,0.7021427669535206,7
41,0.6999787121404002,7
42,0.6967190138724682,7
43,0.6962953289771477,7
44,0.6953420857335407,7
45,0.6973396174982321,7
46,0.697062398061454,7
47,0.6955107611490355,7
48,0.6975265479495709,7
49,0.6994017530188421,7
50,0.7023145953572297,7
51,0.7015967456186318,7
52,0.7018745676217604,7
53,0.7030087706334059,7
54,0.7120791921107015,7
55,0.7103090880135562,7
56,0.7088920807621437,7
57,0.7057020178338291,7
58,0.7043254870975604,7
59,0.7087693970589218,7
60,0.7081996418877898,7
61,0.7060123672423061,7
62,0.7038586166225376,7
63,0.7054959530963408,7
64,0.7056986802305247,7
65,0.7032206876067923,7
66,0.7056069451246614,7
67,0.7055856334576224,7
68,0.7031397809172976,7
69,0.7050052895128956,7
70,0.7036582759189083,7
71,0.7031366562670575,7
72,0.7023001729288615,7
73,0.7008442517275992,7
74,0.7029298462555963,7
75,0.70278757802335,7
76,0.702413796840084,7
77,0.7013238591913752,7
78,0.7029887944344654,7
79,0.7038701893412016,7
80,0.702531003897844,7
81,0.703241648916947,7
82,0.7061478831800478,7
83,0.704363746369878,7
84,0.7032378461665161,7
85,0.7034398294799108,7
86,0.7020286070545514,7
87,0.7029191792065118,7
88,0.7023084008840685,7
89,0.7042813202204598,7
90,0.7048515305605105,7
91,0.7007447205458136,7
92,0.7014691079261355,7
93,0.7043865553175034,7
94,0.6996395953644545,7
95,0.6987299372505583,7
96,0.6980133350759213,7
97,0.7019354570607474,7
98,0.7022889891750792,7
99,0.7016728678192297,7
100,0.7025268597205849,7
101,0.6993528490025047,7
102,0.699039009074765,7
103,0.6995017844045247,7
104,0.6995306610512043,7
105,0.6992767071650543,7
106,0.7002097719152036,7
107,0.698765966256135,7
108,0.6985792060914525,7
109,0.7002056454601537,7
110,0.6982658343455668,7
111,0.6971280236185498,7
112,0.6961557171186737,7
113,0.6979342667581911,7
114,0.6972685375897653,7
115,0.6976790494094808,7
116,0.6981037840002738,7
117,0.6980242624556797,7
118,0.6991117579020284,7
119,0.6978197225846647,7
120,0.697569839118772,7
1,1.2398288223601337,8
2,1.121320157246019,8
3,1.0318356744663657,8
4,0.971018195835882,8
5,0.953171304517479,8
6,0.9663008067561161,8
7,0.9305475293819305,8
8,0.9509744101344836,8
9,0.8333933458425278,8
10,0.7956136366894705,8
11,0.7884723171398511,8
12,0.7883423966430188,8
13,0.797765279733294,8
14,0.7913369499213679,8
15,0.7643067359899879,8
16,0.7594070162280505,8
17,0.756075549652604,8
18,0.7580328721899552,8
19,0.7441771520564862,8
20,0.7459277606199941,8
21,0.7439150890164881,8
22,0.742313547418811,8
23,0.7418935300916848,8
24,0.742850759277307,8
25,0.7435197689830074,8
26,0.7452768376991875,8
27,0.7453536021381144,8
28,0.7464112905908747,8
29,0.7427710414134129,8
30,0.7463256232736675,8
31,0.7329769565696579,8
32,0.7296225113077434,8
33,0.730228917889077,8
34,0.7287338815549962,8
35,0.7311254309303064,8
36,0.7303504679378086,8
37,0.7300944994001686,8
38,0.7324410895205223,8
39,0.7324860364261192,8
40,0.7319505241304727,8
41,0.733694114093662,8
42,0.733124745426036,8
43,0.7344780632310483,8
44,0.7322733927341283,8
45,0.7277099719842295,8
46,0.7310337873001422,8
47,0.7312998599432619,8
48,0.7306793774155439,8
49,0.730112066462663,8
50,0.7289449405707749,8
51,0.733668264164256,8
52,0.7353656225069216,8
53,0.7349569569331723,8
54,0.7333807482855019,8
55,0.7344743256826394,8
56,0.7337847309935921,8
57,0.7338420818194409,8
58,0.7348711156642742,8
59,0.7371082784603782,8
60,0.7367181262804182,8
61,0.7353884320995316,8
